stateDescription,fueltypeid,period,predicted_energy_production_KWh
Ohio,PET,2024,4147143978.9194946
Ohio,PET,2025,4117806830.524536
Ohio,SUN,2023,1083063984.2831726
Ohio,SUN,2024,1182613811.4042358
Ohio,SUN,2025,1282163638.525299
Ohio,WND,2023,5245597105.765015
Ohio,WND,2024,5529013622.461182
Ohio,WND,2025,5812430139.157349
Oklahoma,COL,2023,13682619176.97461
Oklahoma,COL,2024,6310817351.671875
Oklahoma,COL,2025,0.0
Oklahoma,NG,2023,95190187492.70996
Oklahoma,NG,2024,96545238840.30713
Oklahoma,NG,2025,97900290187.9043
Oklahoma,PET,2023,86370975.03969955
Oklahoma,PET,2024,90829423.36031532
Oklahoma,PET,2025,95287871.68092918
Oklahoma,SUN,2023,153150083.92299652
Oklahoma,SUN,2024,165097272.627079
Oklahoma,SUN,2025,177044461.3311653
Oklahoma,WND,2023,71940738764.32812
Oklahoma,WND,2024,75826078330.71582
Oklahoma,WND,2025,79711417897.10254
Oregon,COL,2023,2793799405.7961426
Oregon,COL,2024,2179869172.7946777
Oregon,COL,2025,1565938939.793457
Oregon,NG,2023,46924242721.08789
Oregon,NG,2024,48780179560.70557
Oregon,NG,2025,50636116400.32373
Oregon,PET,2023,7021312.960468769
Oregon,PET,2024,5753661.421954155
Oregon,PET,2025,4486009.883439064
Oregon,SUN,2023,2648379557.519104
Oregon,SUN,2024,2907712060.501404
Oregon,SUN,2025,3167044563.4837036
Oregon,WND,2023,16625818556.348755
Oregon,WND,2024,16549842032.786163
Oregon,WND,2025,16473865509.223541
Pennsylvania,COL,2023,16479573915.320312
Pennsylvania,COL,2024,0.0
Pennsylvania,COL,2025,0.0
Pennsylvania,NG,2023,275558903376.58594
Pennsylvania,NG,2024,292014321260.0
Pennsylvania,NG,2025,308469739143.41797
Pennsylvania,NUC,2023,240883273122.54602
Pennsylvania,NUC,2024,240779760955.2352
Pennsylvania,NUC,2025,240676248787.92435
Pennsylvania,PET,2023,506150568.5428772
Pennsylvania,PET,2024,404381587.9563904
Pennsylvania,PET,2025,302612607.36990356
Pennsylvania,SUN,2023,358862008.3621597
Pennsylvania,SUN,2024,384844922.93479156
Pennsylvania,SUN,2025,410827837.50743103
Pennsylvania,WND,2023,7376213150.371887
Pennsylvania,WND,2024,7331506691.630524
Pennsylvania,WND,2025,7286800232.88916
Rhode Island,COL,2023,0.0
Rhode Island,COL,2024,0.0
Rhode Island,COL,2025,0.0
Rhode Island,NG,2023,17396550672.442352
Rhode Island,NG,2024,17524224082.52481
Rhode Island,NG,2025,17651897492.60727
Rhode Island,PET,2023,97568467.01307714
Rhode Island,PET,2024,97801487.49877805
Rhode Island,PET,2025,98034507.98447889
Rhode Island,SUN,2023,514779867.31147766
Rhode Island,SUN,2024,574260665.8226471
Rhode Island,SUN,2025,633741464.3338165
Rhode Island,WND,2023,419228452.4223938
Rhode Island,WND,2024,453751728.5019684
Rhode Island,WND,2025,488275004.58154297
South Carolina,COL,2023,32110873044.94922
South Carolina,COL,2024,27087291065.152344
South Carolina,COL,2025,22063709085.35547
South Carolina,NG,2023,58447555954.13086
South Carolina,NG,2024,61007440570.05176
South Carolina,NG,2025,63567325185.97266
South Carolina,NUC,2023,169339448881.77686
South Carolina,NUC,2024,170027310180.2815
South Carolina,NUC,2025,170715171478.78613
South Carolina,PET,2023,387660930.12678146
South Carolina,PET,2024,378826338.14780426
South Carolina,PET,2025,369991746.16882706
South Carolina,SUN,2023,4115631272.039551
South Carolina,SUN,2024,4587228582.54187
South Carolina,SUN,2025,5058825893.044189
South Dakota,COL,2023,4563546285.823242
South Dakota,COL,2024,4181150625.4522705
South Dakota,COL,2025,3798754965.081299
South Dakota,NG,2023,4370956725.537476
South Dakota,NG,2024,4698036851.050049
South Dakota,NG,2025,5025116976.5625
South Dakota,PET,2023,81500719.99843979
South Dakota,PET,2024,86215582.96137428
South Dakota,PET,2025,90930445.92431068
South Dakota,SUN,2023,22072891.862941742
South Dakota,SUN,2024,25702542.17547798
South Dakota,SUN,2025,29332192.488015175
South Dakota,WND,2023,13711130805.356934
South Dakota,WND,2024,14392935477.805664
South Dakota,WND,2025,15074740150.25415
Tennessee,COL,2023,39886273778.09961
Tennessee,COL,2024,33410032770.13867
Tennessee,COL,2025,26933791762.179688
Tennessee,NG,2023,36751159153.10596
Tennessee,NG,2024,38920105595.813965
Tennessee,NG,2025,41089052038.52197
Tennessee,NUC,2023,116069962942.03125
Tennessee,NUC,2024,119116056282.66797
Tennessee,NUC,2025,122162149623.30469
Tennessee,PET,2023,393987664.6513443
Tennessee,PET,2024,381087204.32198334
Tennessee,PET,2025,368186743.9926224
Tennessee,SUN,2023,947234779.9077454
Tennessee,SUN,2024,1039012875.1999817
Tennessee,SUN,2025,1130790970.492218
Tennessee,WND,2023,48022709.26479149
Tennessee,WND,2024,39688489.43970108
Tennessee,WND,2025,31354269.61461258
Texas,COL,2023,240031624921.375
Texas,COL,2024,220186871501.0
Texas,COL,2025,200342118080.625
Texas,NG,2023,499666502749.90625
Texas,NG,2024,510288576981.2539
Texas,NG,2025,520910651212.60547
Texas,NUC,2023,125927959187.62329
Texas,NUC,2024,126332084373.8197
Texas,NUC,2025,126736209560.01599
Texas,PET,2023,193414178.54208374
Texas,PET,2024,113907610.72076416
Texas,PET,2025,34401042.89944458
Texas,SUN,2023,27068597343.379883
Texas,SUN,2024,29675455242.254883
Texas,SUN,2025,32282313141.129883
Texas,WND,2023,207367763275.6172
Texas,WND,2024,216500212832.16016
Texas,WND,2025,225632662388.70312
Utah,COL,2023,59863090645.71875
Utah,COL,2024,56693328495.393555
Utah,COL,2025,53523566345.06836
Utah,NG,2023,24317182583.665283
Utah,NG,2024,25250127559.579346
Utah,NG,2025,26183072535.49341
Utah,PET,2023,98871377.25570583
Utah,PET,2024,97961517.18524289
Utah,PET,2025,97051657.11478019
Utah,SUN,2023,7164911681.804932
Utah,SUN,2024,7801346467.222656
Utah,SUN,2025,8437781252.640381
Utah,WND,2023,1603364442.758606
Utah,WND,2024,1582558464.3889008
Utah,WND,2025,1561752486.0191956
Vermont,NG,2023,0.0
